,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
5248,padding,7,6,8.45,0.12867132789378105,0.15202940351388847,0.0647755297422006,0.14682547811311117,4.52,5.25,0.96,34.0,0
5249,paddle,6,5,6.58,0.5591602676940769,0.2826378565819987,0.5602266011274836,0.22366262414644067,4.8,5.38,3.75,31.0,0
5250,padre,5,6,11.39,0.30278933336028535,0.06777751079361123,0.466128192323504,0.08199433126151849,4.6,5.84,4.22,36.0,0
5251,pagan,5,6,13.0,0.2007568463981744,0.0681880629056769,0.6280888474228636,0.07150396174815964,2.73,5.0,1.35,36.0,0
5252,page,4,4,5.16,0.35605174336278705,0.09254029734229303,0.46217784345970236,0.06877429790265231,4.9,6.09,37.49,21.0,0
5253,pageant,7,7,10.0,0.4764580825554188,0.11661579529115564,0.4764580825554188,0.05367051411018168,4.0,5.0,4.78,50.0,0
5254,paging,6,6,11.45,9.761622150066504e-05,0.07053782830496473,9.761622150066504e-05,0.06845670183873558,3.42,4.71,2.04,32.0,0
5255,pagoda,6,7,12.38,0.04183409256061141,0.0511308885995329,0.08651418723444747,0.02519545536148751,4.67,5.6,1.1,53.0,0
5256,pail,4,4,6.16,0.5900889140017304,0.1648931150898359,0.16359715746065268,0.16442439722196714,4.93,4.5,0.94,20.0,0
5257,pain,4,4,4.26,0.15613857670973313,0.11557128175533166,0.1387306754120496,0.12716772278600807,3.5,2.0,97.94,20.0,0
5258,painful,7,7,6.44,0.385972241559689,0.06317714736230755,0.385972241559689,0.123103372826503,3.43,2.58,15.16,55.0,1
5259,painkiller,10,10,11.59,0.5932326580658518,0.04770331793532654,0.1690368981269495,0.07302078213001081,4.18,5.43,0.53,76.0,1
5260,painless,8,7,8.91,0.4114137186096124,0.07087101435386987,0.4114137186096124,0.05366003533856054,2.29,7.4,1.94,47.0,1
5261,paint,5,5,4.45,0.6076330098316999,0.16511142129439824,0.6133526004944642,0.14894983777650653,4.79,5.74,36.8,28.0,0
5262,painter,7,7,5.6,0.6355615698061674,0.2737109546656537,0.13722777889029988,0.19897921785089706,4.52,6.6,6.75,35.0,1
5263,painting,8,7,5.26,0.7835041534466396,0.24554035092984242,0.7835041534466396,0.262529409219692,4.59,6.9,29.2,33.0,0
5264,pair,4,4,5.94,0.1902116390681939,0.15656031117657493,0.10097912385684495,0.17496685088517286,3.88,5.95,37.25,26.0,0
5265,pal,3,4,5.74,0.1741538224865683,0.18596429919687527,0.16836979371960586,0.21084431574394621,3.93,6.67,57.59,20.0,0
5266,palace,6,6,6.89,0.5548541286439314,0.07949450950306122,0.5548541286439314,0.11342035927930115,4.57,6.1,19.2,37.0,0
5267,pale,4,4,6.95,0.1529571249501385,0.14179758668254774,0.18724452011682957,0.1298147733749507,3.79,4.11,8.02,20.0,0
5268,palette,7,6,10.5,0.04851416091801983,0.08251134667962298,0.11521535225594284,0.15906586450863702,4.3,5.14,0.57,52.0,0
5269,pallet,6,6,12.0,0.6074433536588493,0.21470629367018698,0.6074433536588493,0.1641767106502479,4.59,4.73,0.41,35.0,0
5270,palm,4,4,6.0,0.28975543775129126,0.15616243500957314,0.30573171326777066,0.1383252117662315,4.83,6.05,13.24,25.0,0
